"id","nome","tipo","abertura","encerramento","data_sessao","lista_de_presenca","timestamp"
77,"35ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 08 de Maio de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/05/08","{Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Chico Kiko/PP,Eduardo Marques/PSB,Fred Ferreira/PSC,Goretti Queiroz/PSC,Ivan Moraes/PSOL,João da Costa/PT,Rinaldo Júnior/PSB,Samuel Salazar/}",2019-11-21 01:58:05
153,"42ª Sessão Ordinária da 1ª Sessão Legislativa da 16ª Legislatura 27 de Maio de 2013 (Segunda-feira)",Ordinária,"15:00","17:00","2013/05/27",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:05:59
154,"41ª Sessão Ordinária da 1ª Sessão Legislativa da 16ª Legislatura 22 de Maio de 2013 (Quarta-feira)",Ordinária,"15:00","17:00","2013/05/22",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:06:05
155,"40ª Sessão Ordinária da 1ª Sessão Legislativa da 16ª Legislatura 21 de Maio de 2013 (Terça-feira)",Ordinária,"15:00","19:00","2013/05/21",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:06:10
156,"39ª Sessão Ordinária da 1ª Sessão Legislativa da 16ª Legislatura 20 de Maio de 2013 (Segunda-feira)",Ordinária,"15:00","19:00","2013/05/20",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:06:15
121,"57ª Sessão Ordinária da 2ª Sessão Legislativa da 16ª Legislatura 16 de Setembro de 2013 (Segunda-feira)",Ordinária,"15:00","18:00","2013/09/16",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:02:55
135,"5ª Sessão Ordinária da 2ª Sessão Legislativa da 16ª Legislatura 13 de Agosto de 2013 (Terça-feira)",Ordinária,"15:00","18:00","2013/08/13",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:04:20
146,"48ª Sessão Ordinária da 1ª Sessão Legislativa da 16ª Legislatura 10 de Junho de 2013 (Segunda-feira)",Ordinária,"15:00","17:00","2013/06/10",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:05:33
163,"32ª Sessão Ordinária da 1ª Sessão Legislativa da 16ª Legislatura 29 de Abril de 2013 (Segunda-feira)",Ordinária,"15:00","19:00","2013/04/29",{Não há presenças registradas na abertura da Sessão.},2019-11-21 02:07:02
1,"103ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 20 de Novembro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/11/20","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,Chico Kiko/PP,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Gilberto Alves/PSD,Hélio Guabiraba/,Ivan Moraes/PSOL,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Rogério de Lucca/PSL}",2019-11-21 01:49:57
2,"102ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 19 de Novembro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/11/19","{Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,Augusto Carreras/PSB,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Rogério de Lucca/PSL,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:50:13
