"id","vereador","aluguel","condominio","energia","agua","iptu_tpei","internet_telefone","trasporte_hospedagens","locacao_automovel","pecas_veiculos","servicos","material_expediente","locacao_equipamentos","assinaturas_jornais","servicos_graficos","total_apresentado","glosa","pago_no_mes","media_mensal","media_mensal_acumulada","data","timestamp","id_vereador"
61,ALMIR FERNANDO,0,0,0,0,0,187.81,0,0,640,0,929.7,0,0,180,1937.51,98.22,1839.29,1839.29,0,"2017/01",2019-11-24 21:48:39,8
1441,WANDERSON SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/01",2019-11-24 21:49:08,2
1162,DAVI MUNIZ,4000,0,534.47,131.94,368.52,645.93,0,0,0,0,0,0,0,0,5680.860000000001,1080.86,4600.000000000001,4599.999999999999,0,"2018/10",2019-11-24 21:49:03,21
229,FRED FERREIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017/01",2019-11-24 21:48:43,29
1129,CARLOS GUEIROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/01",2019-11-24 21:49:02,18
649,DAVI MUNIZ,4000,0,524.58,239,0,165.7,0,0,0,0,0,0,0,0,4929.28,329.28,4600,4600,0,"2019/01",2019-11-24 21:48:51,21
517,ALINE MARIANO,400,650,0,0,80,0,0,3520,0,0,0,0,0,0,4650,50,4600,4600,0,"2019/01",2019-11-24 21:48:48,13
256,HÉLIO GUABIRARA,0,0,0,0,0,0,0,4350,0,0,289.9,0,0,0,4639.9,55,4584.9,2478.05,0,"2017/04",2019-11-24 21:48:43,37
163,CHICO KIKO,900,0,0,0,0,0,0,0,0,3700,0,0,0,0,4600,0,4600,3068.3571428571427,0,"2017/07",2019-11-24 21:48:41,22
817,MARÍLIA ARRAES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/01",2019-11-24 21:48:55,16
1291,JÚNIOR BOCÃO,0,0,0,0,0,0,0,4699.91,0,0,0,0,0,0,4699.91,99.91,4600,4541.9,0,"2018/07",2019-11-24 21:49:05,6
260,HÉLIO GUABIRARA,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,6000,1400,4600,3539.025,0,"2017/08",2019-11-24 21:48:43,37
1188,EDUARDO CHERA,3200,0,0,0,0,0,0,1400,0,0,0,0,0,0,4600,0,4600,4600,0,"2018/12",2019-11-24 21:49:03,35
740,HÉLIO GUABIRARA,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,4650,50,4600,4587.5,0,"2019/08",2019-11-24 21:48:53,37
1244,HÉLIO GUABIRARA,0,0,0,0,0,0,0,6200,0,0,0,0,0,0,6200,1600,4600,4600,0,"2018/08",2019-11-24 21:49:04,37
1322,MARCOS DI BRIA,3000,0,0,0,0,0,0,1680,0,0,0,0,0,0,4680,80,4600,4600,0,"2018/02",2019-11-24 21:49:05,38
338,MARCOS DI BRIA,0,0,0,0,0,0,0,1960,0,0,0,0,0,0,1960,0,1960,1980,0,"2017/02",2019-11-24 21:48:45,38
830,MARCOS DI BRIA,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,4700,100,4600,4600,0,"2019/02",2019-11-24 21:48:56,38
995,ADERALDO OLIVEIRA,0,0,0,0,0,0,0,4350,0,0,188.55,0,0,0,4538.55,0,4538.55,4507.268181818182,0,"2018/11",2019-11-24 21:48:59,40
1207,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3634.285714285714,0,"2018/07",2019-11-24 21:49:03,44
690,FELIPE FRANCISMAR,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,4200,0,4200,3903.3333333333335,0,"2019/06",2019-11-24 21:48:52,44
689,FELIPE FRANCISMAR,0,0,0,0,0,0,0,4340,0,0,0,0,0,0,4340,0,4340,3844,0,"2019/05",2019-11-24 21:48:52,44
691,FELIPE FRANCISMAR,0,0,0,0,0,0,0,4340,0,0,0,0,0,0,4340,0,4340,3965.714285714286,0,"2019/07",2019-11-24 21:48:52,44
1202,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3360,0,0,0,0,0,0,3360,0,3360,3540,0,"2018/02",2019-11-24 21:49:03,44
1204,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,3600,0,3600,3600,0,"2018/04",2019-11-24 21:49:03,44
692,FELIPE FRANCISMAR,0,0,0,0,0,0,0,4340,0,0,0,0,0,0,4340,0,4340,4012.5,0,"2019/08",2019-11-24 21:48:52,44
1211,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,3600,0,3600,3643.6363636363635,0,"2018/11",2019-11-24 21:49:04,44
1203,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3600,0,"2018/03",2019-11-24 21:49:03,44
1198,EDUARDO MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/10",2019-11-24 21:49:03,32
1229,GILBERTO ALVES,0,0,0,0,0,0,0,0,0,0,1377.5,0,0,2997.5,4375,0,4375,4466.7,0,"2018/05",2019-11-24 21:49:04,5
1226,GILBERTO ALVES,0,0,0,0,0,0,0,4299.5,0,0,0,0,0,0,4299.5,0,4299.5,4426.25,0,"2018/02",2019-11-24 21:49:04,5
1223,FRED FERREIRA,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,4600,0,4600,4572.094545454545,0,"2018/11",2019-11-24 21:49:04,29
